Date,open,high,low,close,AdjClose,volume
2019-10-30,68.370003,68.370003,67.269997,67.720001,63.459370,12840600
2019-10-31,67.459999,67.720001,67.139999,67.570000,63.318806,16169100
2019-11-01,68.389999,69.610001,68.309998,69.599998,65.221085,14108700
2019-11-04,70.070000,71.870003,69.940002,71.669998,67.160851,15858200
2019-11-05,72.040001,73.120003,71.849998,73.089996,68.491516,14930400
2019-11-06,72.730003,72.870003,71.199997,71.489998,66.992172,13996500
2019-11-07,72.029999,73.029999,72.000000,73.010002,68.416550,13073800
2019-11-08,71.610001,71.800003,70.660004,70.769997,67.117256,12106000
2019-11-11,70.209999,70.610001,69.970001,70.339996,66.709457,8674000
2019-11-12,70.269997,70.410004,68.980003,69.370003,65.789520,13918600
2019-11-13,69.019997,69.150002,68.599998,68.800003,65.248947,11773700
2019-11-14,68.860001,68.970001,68.180000,68.500000,64.964424,11279800
2019-11-15,68.709999,69.300003,68.669998,69.190002,65.618813,11252800
2019-11-18,68.699997,68.820000,68.300003,68.519997,64.983391,10095600
2019-11-19,68.400002,68.559998,67.779999,67.820000,64.319519,12605500
2019-11-20,67.669998,68.540001,67.320000,68.029999,64.518677,16930700
2019-11-21,68.019997,69.750000,67.919998,69.669998,66.074036,14080500
2019-11-22,69.709999,70.180000,69.330002,69.370003,65.789520,12143600
2019-11-25,69.370003,69.440002,68.709999,68.910004,65.353264,10670000
2019-11-26,68.919998,69.040001,68.440002,68.739998,65.192039,15457000
2019-11-27,68.760002,69.089996,68.410004,68.699997,65.154099,8393900
2019-11-29,68.330002,68.529999,68.000000,68.129997,64.613510,7980800
2019-12-02,68.500000,68.879997,68.370003,68.419998,64.888550,11116900
2019-12-03,68.000000,68.250000,67.519997,67.879997,64.376419,12245800
2019-12-04,68.250000,68.760002,68.139999,68.650002,65.106689,11049700
2019-12-05,68.889999,68.970001,68.209999,68.410004,64.879074,13109000
2019-12-06,68.760002,69.870003,68.760002,69.510002,65.922295,13710800
2019-12-09,69.080002,69.970001,69.019997,69.660004,66.064552,12397700
2019-12-10,69.660004,70.150002,68.699997,69.059998,65.495522,14281800
2019-12-11,68.739998,69.760002,68.669998,68.959999,65.400688,13748400
2019-12-12,68.959999,70.379997,68.900002,70.339996,66.709457,17068500
2019-12-13,70.480003,70.540001,69.120003,69.230003,65.656754,12274500
2019-12-16,69.699997,70.250000,69.699997,70.000000,66.387001,15208700
2019-12-17,69.980003,70.379997,69.309998,69.680000,66.083519,14450700
2019-12-18,69.629997,70.290001,69.279999,69.870003,66.263718,13652300
2019-12-19,69.989998,70.050003,69.239998,69.389999,65.808487,13273200
2019-12-20,69.860001,70.230003,69.389999,69.940002,66.330109,35092000
2019-12-23,69.860001,70.300003,69.529999,70.290001,66.662033,14172500
2019-12-24,70.349998,70.500000,69.910004,70.019997,66.405968,3979400
2019-12-26,70.190002,70.500000,70.010002,70.129997,66.510292,8840200
2019-12-27,70.199997,70.309998,69.879997,69.889999,66.282677,10516100
2019-12-30,70.089996,70.440002,69.400002,69.480003,65.893845,12689400
2019-12-31,69.019997,69.800003,69.010002,69.779999,66.178360,13151800
2020-01-02,70.239998,71.019997,70.239998,70.900002,67.240555,12456400
2020-01-03,71.339996,71.370003,70.160004,70.330002,66.699974,17386900
2020-01-06,70.320000,71.360001,70.230003,70.870003,67.212105,20081900
2020-01-07,70.500000,70.519997,69.510002,70.290001,66.662033,17387700
2020-01-08,70.110001,70.290001,69.169998,69.230003,65.656754,15137700
2020-01-09,69.139999,69.900002,68.629997,69.760002,66.159393,14811800
